,time,valueA,valueB,valueC
248,248,10,0.0,0
249,249,13112,0.0,0
250,250,13611,0.0,0
251,251,13776,0.0,0
252,252,13817,0.0,0
253,253,13826,0.0,0
254,254,14065,0.0,0
255,255,14071,0.0,0
256,256,14097,0.0,0
257,257,9,0.0,0
258,258,14670,0.0,0
259,259,14675,0.0,0
260,260,8,0.0,0
261,261,7,0.0,0
262,262,15511,0.0,0
263,263,6,0.0,0
264,264,45,0.0,0
265,265,48,0.0,0
266,266,46,0.0,0
267,267,452,0.0,0
268,268,164,0.0,0
269,269,509,0.0,0
270,270,143,0.0,0
271,271,134,0.0,0
272,272,510,0.0,0
273,273,130,0.0,0
274,274,128,0.0,0
275,275,127,0.0,0
276,276,511,0.0,0
277,277,85,0.0,0
278,278,84,0.0,0
279,279,512,0.0,0
280,280,81,0.0,0
281,281,513,0.0,0
282,282,514,0.0,0
283,283,515,0.0,0
284,284,516,0.0,0
285,285,475,0.0,0
286,286,450,0.0,0
287,287,80,0.0,0
288,288,208,0.0,0
289,289,218,0.0,0
290,290,217,0.0,0
291,291,216,0.0,0
292,292,214,0.0,0
293,293,236,0.0,0
294,294,278,0.0,0
295,295,354,0.0,0
296,296,399,0.0,0
297,297,400,0.0,0
298,298,211,0.0,0
299,299,210,0.0,0
300,300,209,0.0,0
301,301,417,0.0,0
302,302,433,0.0,0
303,303,449,0.0,0
304,304,2238,0.0,0
305,305,2234,0.0,0
306,306,517,0.0,0
307,307,518,0.0,0
308,308,219,0.0,0
309,309,61,0.0,0
310,310,538,0.0,0
311,311,537,0.0,0
312,312,536,0.0,0
313,313,57,0.0,0
314,314,535,0.0,0
315,315,534,0.0,0
316,316,533,0.0,0
317,317,56,0.0,0
318,318,532,0.0,0
319,319,531,0.0,0
320,320,55,0.0,0
321,321,54,0.0,0
322,322,530,0.0,0
323,323,52,0.0,0
324,324,51,0.0,0
325,325,50,0.0,0
326,326,49,0.0,0
327,327,58,0.0,0
328,328,539,0.0,0
329,329,844,0.0,0
330,330,62,0.0,0
331,331,78,0.0,0
332,332,520,0.0,0
333,333,77,0.0,0
334,334,843,0.0,0
335,335,76,0.0,0
336,336,69,0.0,0
337,337,693,0.0,0
338,338,68,0.0,0
339,339,67,0.0,0
340,340,4045,0.0,0
341,341,66,0.0,0
342,342,578,0.0,0
343,343,65,0.0,0
344,344,541,0.0,0
345,345,64,0.0,0
346,346,540,0.0,0
347,347,63,0.0,0
348,348,519,0.0,0
